id_candidato,id_vacante,proceso,fecha,id_rechazo,cambio_vacante
1024,2307,1,20180115,0,0
1024,2307,2,20180115,0,0
1024,2307,3,20180117,0,0
1024,2307,4,20180122,0,0
1025,2508,1,20180115,0,0
1025,2508,2,20180116,0,0
1025,2508,3,20180117,0,0
1025,2508,4,20180123,0,0
1026,2492,1,20180125,0,0
1026,2492,2,20180125,0,0
1026,2492,3,20180131,0,0
1026,2492,4,20180206,0,0
1027,2371,1,20180206,0,0
1027,2371,2,20180206,0,0
1027,2371,3,20180209,0,0
1027,2371,4,20180215,0,0
1028,2547,1,20180301,0,0
1028,2547,2,20180302,0,0
1028,2547,3,20180306,0,0
1028,2547,4,20180309,0,0
1029,2402,1,20180101,0,0
1029,2402,2,20180101,0,0
1029,2402,3,20180202,0,0
1029,2402,4,20180206,0,0
1030,2551,1,20180403,0,0
1030,2551,2,20180403,0,0
1030,2551,3,20180413,0,0
1030,2551,4,20180417,0,0
1031,2511,1,20180403,0,0
1031,2511,2,20180403,0,0
1031,2511,3,20180406,0,0
1031,2511,4,20180412,0,0
1032,2548,1,20180406,0,0
1032,2548,2,20180406,0,0
1032,2548,3,20180413,0,0
1032,2548,4,20180419,0,0
1033,2366,1,20180131,0,0
1033,2366,2,20180201,0,0
1033,2366,3,20180208,0,0
1033,2366,4,20180213,0,0
1034,2593,1,20180111,0,0
1034,2593,2,20180112,0,0
1034,2593,3,20180116,0,0
1034,2593,4,20180123,0,0
1035,2346,1,20180323,0,0
1035,2346,2,20180324,0,0
1035,2346,3,20180328,0,0
1035,2346,4,20180402,0,0
1036,2586,1,20180115,0,0
1036,2586,2,20180115,0,0
1036,2586,3,20180118,0,0
1036,2586,4,20180123,0,0
1037,2538,1,20180212,0,0
1037,2538,2,20180212,0,0
1037,2538,3,20180215,0,0
1037,2538,4,20180220,0,0
1038,2340,1,20180228,0,0
1038,2340,2,20180228,0,0
1038,2340,3,20180308,0,0
1038,2340,4,20180313,0,0
1039,2373,1,20180104,0,0
1039,2373,2,20180104,0,0
1039,2373,3,20180122,0,0
1039,2373,4,20180126,0,0
1040,2575,1,20180226,0,0
1040,2575,2,20180226,0,0
1040,2575,5,20180227,9,0
1041,2625,1,20180126,0,0
1041,2625,2,20180127,0,0
1041,2625,3,20180130,0,0
1041,2625,4,20180202,0,0
1042,2557,1,20180101,0,0
1042,2557,2,20180102,0,0
1042,2557,4,20180102,0,0
1043,2570,1,20180101,0,0
1043,2570,2,20180102,0,0
1043,2570,4,20180102,0,0
1044,2330,1,20181228,0,0
1044,2330,2,20181228,0,0
1044,2330,3,20181229,0,0
1044,2330,4,20180102,0,0
1045,2522,1,20180101,0,0
1045,2522,2,20180101,0,0
1045,2522,3,20180103,0,0
1045,2522,4,20180105,0,0
1046,2310,1,20180101,0,0
1046,2310,2,20180102,0,0
1046,2310,3,20180103,0,0
1046,2310,4,20180105,0,0
1047,2467,1,20180101,0,0
1047,2467,2,20180101,0,0
1047,2467,3,20180103,0,0
1047,2467,4,20180105,0,0
1048,2550,1,20180101,0,0
1048,2550,2,20180101,0,0
1048,2550,3,20180103,0,0
1048,2550,4,20180105,0,0
1049,2554,1,20180101,0,0
1049,2554,2,20180102,0,0
1049,2554,4,20180105,0,0
1050,2480,1,20180101,0,0
1050,2480,2,20180102,0,0
1050,2480,4,20180105,0,0
1051,2640,1,20180101,0,0
1051,2640,2,20180101,0,0
1051,2640,4,20180105,0,0
1052,2377,1,20180101,0,0
1052,2377,2,20180101,0,0
1052,2377,4,20180108,0,0
1053,2472,1,20180101,0,0
1053,2472,2,20180102,0,0
1053,2472,4,20180109,0,0
1054,2331,1,20180101,0,0
1054,2331,2,20180102,0,0
1054,2331,4,20180109,0,0
1055,2480,1,20180101,0,0
1055,2480,2,20180101,0,0
1055,2480,4,20180109,0,0
1056,2531,1,20180101,0,0
1056,2531,2,20180102,0,0
1056,2531,4,20180109,0,0
1057,2561,1,20180101,0,0
1057,2561,2,20180102,0,0
1057,2561,4,20180109,0,0
1058,2621,1,20180101,0,0
1058,2621,2,20180101,0,0
1058,2621,4,20180109,0,0
1059,2491,1,20180101,0,0
