1418,1340,1,20180403,"sin fecha real, misma que vacante"
1420,1366,1,20180423,"sin fecha real, misma que vacante"
1421,1308,1,20180503,"sin fecha real, misma que vacante"
1423,1546,1,20180424,"sin fecha real, misma que vacante"
1424,1123,1,20180321,"sin fecha real, misma que vacante"
1425,1518,1,20180417,"sin fecha real, misma que vacante"
1426,1188,1,20180323,"sin fecha real, misma que vacante"
1427,1471,1,20180423,"sin fecha real, misma que vacante"
1428,1315,1,20180404,"sin fecha real, misma que vacante"
1429,1340,1,20180406,"sin fecha real, misma que vacante"
1430,1381,1,20180319,"sin fecha real, misma que vacante"
1431,1477,1,20180410,"sin fecha real, misma que vacante"
1432,1480,1,20180411,"sin fecha real, misma que vacante"
1433,1250,1,20180220,"sin fecha real, misma que vacante"
1434,1265,1,20180416,"sin fecha real, misma que vacante"
1435,1265,1,20180312,"sin fecha real, misma que vacante"
1436,1308,1,20180328,"sin fecha real, misma que vacante"
1437,1267,1,20180403,"sin fecha real, misma que vacante"
1439,1185,1,20180130,"sin fecha real, misma que vacante"
1440,1157,1,20180131,"sin fecha real, misma que vacante"
1441,1198,1,20180202,"sin fecha real, misma que vacante"
1442,1190,1,20180131,"sin fecha real, misma que vacante"
1443,1214,1,20180207,"sin fecha real, misma que vacante"
1444,1209,1,20180207,"sin fecha real, misma que vacante"
1445,1155,1,20180208,"sin fecha real, misma que vacante"
1446,1233,1,20180214,"sin fecha real, misma que vacante"
1447,1211,1,20180207,"sin fecha real, misma que vacante"
1448,1123,1,20180118,"sin fecha real, misma que vacante"
1449,1071,1,20180122,"sin fecha real, misma que vacante"
1450,1141,1,20180122,"sin fecha real, misma que vacante"
1451,1135,1,20180122,"sin fecha real, misma que vacante"
1452,1137,1,20180122,"sin fecha real, misma que vacante"
1453,1153,1,20180123,"sin fecha real, misma que vacante"
1454,1152,1,20180123,"sin fecha real, misma que vacante"
1455,1151,1,20180123,"sin fecha real, misma que vacante"
1456,1145,1,20180123,"sin fecha real, misma que vacante"
1457,1146,1,20180123,"sin fecha real, misma que vacante"
1458,1131,1,20180119,"sin fecha real, misma que vacante"
1459,1130,1,20180119,"sin fecha real, misma que vacante"
1460,1129,1,20180119,"sin fecha real, misma que vacante"
1461,1130,1,20180122,"sin fecha real, misma que vacante"
1462,1139,1,20180122,"sin fecha real, misma que vacante"
1463,1086,1,20180123,"sin fecha real, misma que vacante"
1464,1161,1,20180123,"sin fecha real, misma que vacante"
1465,1185,1,20180326,"sin fecha real, misma que vacante"
1466,1175,1,20180129,"sin fecha real, misma que vacante"
1467,1232,1,20180214,"sin fecha real, misma que vacante"
1468,1155,1,20180228,"sin fecha real, misma que vacante"
1469,1182,1,20180129,"sin fecha real, misma que vacante"
1470,1179,1,20180129,"sin fecha real, misma que vacante"
1471,1268,1,20180223,"sin fecha real, misma que vacante"
1472,1295,1,20180301,"sin fecha real, misma que vacante"
1473,1099,1,20180313,"sin fecha real, misma que vacante"
1474,1102,1,20180313,"sin fecha real, misma que vacante"
1475,1340,1,20180312,"sin fecha real, misma que vacante"
1476,1332,1,20180309,"sin fecha real, misma que vacante"
1477,1269,1,20180312,"sin fecha real, misma que vacante"
1478,1267,1,20180320,"sin fecha real, misma que vacante"
1479,1357,1,20180321,"sin fecha real, misma que vacante"
1480,1357,1,20180313,"sin fecha real, misma que vacante"
1481,1127,1,20180119,"sin fecha real, misma que vacante"
1482,1086,1,20180124,"sin fecha real, misma que vacante"
1483,1127,1,20180119,"sin fecha real, misma que vacante"
1484,1086,1,20180125,"sin fecha real, misma que vacante"
1485,1308,1,20180305,"sin fecha real, misma que vacante"
1486,1269,1,20180305,"sin fecha real, misma que vacante"
1487,1261,1,20180221,"sin fecha real, misma que vacante"
1488,1252,1,20180221,"sin fecha real, misma que vacante"
1489,1257,1,20180221,"sin fecha real, misma que vacante"
1490,1271,1,20180223,"sin fecha real, misma que vacante"
1491,1386,1,20180320,"sin fecha real, misma que vacante"
1492,1222,1,20180208,"sin fecha real, misma que vacante"
1493,1258,1,20180221,"sin fecha real, misma que vacante"
1494,1265,1,20180222,"sin fecha real, misma que vacante"
1495,1316,1,20180306,"sin fecha real, misma que vacante"
1496,1316,1,20180321,"sin fecha real, misma que vacante"
1497,1086,1,20180326,"sin fecha real, misma que vacante"
1498,1366,1,20180313,"sin fecha real, misma que vacante"
1499,1086,1,20180313,"sin fecha real, misma que vacante"
1500,1086,1,20180320,"sin fecha real, misma que vacante"
1501,1220,1,20180214,"sin fecha real, misma que vacante"
1502,1123,1,20180118,"sin fecha real, misma que vacante"
1503,1130,1,20180227,"sin fecha real, misma que vacante"
1504,1314,1,20180314,"sin fecha real, misma que vacante"
1505,1193,1,20180201,"sin fecha real, misma que vacante"
1506,1193,1,20180226,"sin fecha real, misma que vacante"
1507,1157,1,20180123,"sin fecha real, misma que vacante"
1508,1167,1,20180125,"sin fecha real, misma que vacante"
1509,1168,1,20180125,"sin fecha real, misma que vacante"
1510,1165,1,20180125,"sin fecha real, misma que vacante"
1511,1155,1,20180123,"sin fecha real, misma que vacante"
1512,1155,1,20180123,"sin fecha real, misma que vacante"
1513,1204,1,20180206,"sin fecha real, misma que vacante"
1514,1180,1,20180129,"sin fecha real, misma que vacante"
1515,1093,1,20180131,"sin fecha real, misma que vacante"
1516,1098,1,20180115,"sin fecha real, misma que vacante"
1517,1093,1,20180115,"sin fecha real, misma que vacante"
1518,1099,1,20180115,"sin fecha real, misma que vacante"
1519,1102,1,20180115,"sin fecha real, misma que vacante"
1520,1073,1,20180116,"sin fecha real, misma que vacante"
1521,1109,1,20180116,"sin fecha real, misma que vacante"
1522,1113,1,20180117,"sin fecha real, misma que vacante"
1523,1116,1,20180117,"sin fecha real, misma que vacante"
1524,1112,1,20180117,"sin fecha real, misma que vacante"
1525,1102,1,20180117,"sin fecha real, misma que vacante"
1526,1115,1,20180117,"sin fecha real, misma que vacante"
1527,1121,1,20180118,"sin fecha real, misma que vacante"
1528,1120,1,20180118,"sin fecha real, misma que vacante"
1529,1086,1,20180115,"sin fecha real, misma que vacante"
1530,1083,1,20180115,"sin fecha real, misma que vacante"
1531,1118,1,20180117,"sin fecha real, misma que vacante"
1532,1119,1,20180118,"sin fecha real, misma que vacante"
