id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1148,2388,0,20180131,20180201,20180212,20180216,
1158,2389,0,20180202,20180202,20180219,20180223,
1602,2389,2,20180206,20180207,,,20180207
1489,2389,6,20180221,20180222,,,20180222
1181,2390,0,20180227,20180227,20180302,20180306,
1195,2391,0,20180307,20180308,20180309,20180313,
1523,2392,16,20180117,20180118,,,20180118
1451,2392,16,20180122,20180123,,,20180123
1454,2392,16,20180123,20180123,,,20180124
1424,2392,2,20180321,20180322,,,20180322
1205,2394,0,20180308,20180308,20180314,20180316,
1106,2395,0,20180101,20180102,,20180129,
1107,2396,0,20180115,20180115,20180124,20180129,
1459,2396,2,20180119,20180119,,,20180120
1461,2396,1,20180122,20180124,,,20180123
1503,2396,1,20180227,20180228,,,20180228
1390,2396,1,20180312,20180312,,,20180313
1226,2397,0,20180320,20180320,20180322,20180326,
1227,2397,0,20180320,20180321,20180322,20180326,
1342,2397,13,20180320,20180321,,,20180321
1243,2397,0,20180328,20180328,20180329,20180404,
1312,2400,0,20180430,20180501,20180503,20180507,
1593,2400,5,20180430,20180430,,,20180501
1378,2400,0,20180504,20180504,,,
1029,2402,0,20180101,20180101,20180202,20180206,
1457,2403,2,20180123,20180124,,,20180124
1142,2403,0,20180207,20180207,20180208,20180213,
1345,2404,13,20180312,20180314,,,20180313
1571,2404,0,20180412,20180412,,,
1560,2404,0,20180430,20180501,,,
1441,2405,1,20180202,20180202,,,20180203
1147,2405,0,20180206,20180207,20180212,20180216,
1258,2406,0,20180409,20180409,20180411,20180413,
1512,2407,2,20180123,20180123,,,20180124
1507,2407,2,20180123,20180123,,,20180124
1511,2407,16,20180123,20180124,,,20180124
1533,2407,1,20180125,20180127,,,20180126
1440,2407,2,20180131,20180131,,,20180201
1445,2407,1,20180208,20180208,,,20180209
1161,2407,0,20180219,20180219,20180221,20180226,
1175,2408,0,20180227,20180227,20180302,20180305,
1468,2409,7,20180228,20180301,,,20180301
1197,2409,0,20180305,20180305,20180308,20180313,
1485,2410,1,20180305,20180305,,,20180306
