264,1,20180302,1,15,0
265,1,20180115,1,12,0
239,1,20180115,1,14,0
239,1,20180309,1,12,0
239,1,20180320,1,14,0
265,1,20180101,1,12,0
265,1,20180221,1,15,0
265,1,20180312,1,15,0
265,1,20180404,1,15,0
338,1,20180410,1,14,0
263,1,20180115,1,16,0
263,1,20180116,1,16,0
263,1,20180223,1,15,0
263,1,20180312,1,15,0
263,1,20180313,1,15,0
263,1,20180320,1,15,0
263,1,20180326,1,15,0
263,1,20180416,1,15,0
317,1,20180112,1,17,0
317,1,20180116,1,14,0
317,1,20180131,1,12,0
317,1,20180302,1,12,0
317,1,20180404,1,12,0
317,1,20180410,1,12,0
317,1,20180426,1,12,0
472,1,20180101,1,18,0
472,1,20180101,1,12,0
473,1,20180220,1,17,0
477,1,20180226,1,14,0
474,1,20180219,1,17,0
475,1,20180129,1,12,0
476,1,20180115,1,17,0
266,1,20180119,1,14,0
266,1,20180220,1,14,0
266,1,20180228,1,14,0
266,1,20180503,1,15,0
329,1,20180101,1,12,0
329,1,20180122,1,12,0
329,1,20180221,1,14,0
329,1,20180306,1,17,0
329,1,20180323,1,17,0
329,1,20180427,1,17,0
311,1,20180101,1,18,0
311,1,20180214,1,17,0
311,1,20180312,1,12,0
311,1,20180312,1,12,0
234,1,20180129,1,17,0
353,1,20180130,1,16,0
353,1,20180221,1,12,0
353,1,20180306,1,17,0
353,1,20180315,1,17,0
347,1,20180129,1,14,0
347,1,20180222,1,16,0
347,1,20180404,1,17,0
347,1,20180426,1,17,0
272,1,20180123,1,17,0
272,1,20180206,1,14,0
272,1,20180221,1,17,0
272,1,20180221,1,16,0
272,1,20180423,1,15,0
324,1,20180129,1,12,0
324,1,20180301,1,17,0
324,1,20180413,1,17,0
352,1,20180101,1,18,0
352,1,20180101,1,12,0
352,1,20180129,1,17,0
352,1,20180402,1,17,0
327,1,20180104,1,17,0
327,1,20180109,1,14,0
327,1,20180402,1,17,0
312,1,20180123,1,12,0
312,1,20180101,1,18,0
312,1,20180307,1,12,0
321,1,20180320,1,12,0
332,1,20180214,1,16,0
332,1,20180313,1,17,0
315,1,20180108,1,14,0
332,1,20180313,1,17,0
315,1,20180409,1,12,0
313,1,20180426,1,12,0
315,1,20180424,1,12,0
325,1,20180118,1,17,0
325,1,20180131,1,17,0
325,1,20180202,1,17,0
325,1,20180227,1,17,0
325,1,20180307,1,17,0
320,1,20180117,1,17,0
325,1,20180321,1,17,0
320,1,20180308,1,12,0
